12.29;1.381544652;;
18.02;1.359869999;;5.73
24.58;1.343804476;;6.56
30.31;1.336583967;;5.73
36.04;1.318371292;;5.73
41.78;1.31604053;;5.74
47.51;1.288143204;;5.73
53.25;1.315299104;;5.74
59.8;1.366043793;;6.55
65.54;1.391714974;;5.74
71.27;1.401687179;;5.73
77;1.401555019;;5.73
82.74;1.387495181;;5.74
88.47;1.386534097;;5.73
94.21;1.382832151;;5.74
100.76;1.390972602;;6.55
106.5;1.382943549;;5.74
112.23;1.372159772;;5.73
117.96;1.336086883;;5.73
123.7;1.322037415;;5.74
129.43;1.346725883;;5.73
135.99;1.362234465;;6.56
141.72;1.365308085;;5.73
147.46;1.370432385;;5.74
153.19;1.370188628;;5.73
158.92;1.363480748;;5.73
164.66;1.369400094;;5.74
170.39;1.379381898;;5.73
176.95;1.384177017;;6.56
182.68;1.395137637;;5.73
188.42;1.388776459;;5.74
194.15;1.399469731;;5.73
199.88;1.397497389;;5.73
205.62;1.396854427;;5.74
211.35;1.394306276;;5.73
217.91;1.390414508;;6.56
223.64;1.399864256;;5.73
229.38;1.402134227;;5.74
235.11;1.394926502;;5.73
240.84;1.390803701;;5.73
246.58;1.398817274;;5.74
253.13;1.379824131;;6.55
258.87;1.379519257;;5.74
264.6;1.378202583;;5.73
270.34;1.386989766;;5.74
276.07;1.369278444;;5.73
281.8;1.36415531;;5.73
287.54;1.361654674;;5.74
294.09;1.373109706;;6.55
299.83;1.375794874;;5.74
305.56;1.375286628;;5.73
311.3;1.384519515;;5.74
317.03;1.388042453;;5.73
322.76;1.385366286;;5.73
329.32;1.368667221;;6.56
335.05;1.382013765;;5.73
340.79;1.381174907;;5.74
346.52;1.391200979;;5.73
352.26;1.394418848;;5.74
357.99;1.398331967;;5.73
363.72;1.399788083;;5.73
370.28;1.397865878;;6.56
376.01;1.404411143;;5.73
381.75;1.395270101;;5.74
387.48;1.397290429;;5.73
393.22;1.401354539;;5.74
398.95;1.393177136;;5.73
405.5;1.379054097;;6.55
411.24;1.375412827;;5.74
416.97;1.379250139;;5.73
422.71;1.375984117;;5.74
428.44;1.344377111;;5.73
434.18;1.297531877;;5.74
439.91;1.28345985;;
